Date,Symbol
2014-06-12,AMGN
2014-06-16,AMGN
2014-06-17,AMGN
2014-06-18,AMGN
2014-06-19,AMGN
2014-06-23,AMGN
2014-06-26,AMGN
2014-06-27,AMGN
2014-09-23,AMGN
2014-09-24,AMGN
2014-09-26,AMGN
2014-09-29,AMGN
2014-09-30,AMGN
2014-10-03,AMGN
2014-10-06,AMGN
2014-10-07,AMGN
2014-10-08,AMGN
2014-10-13,AMGN
2014-10-14,AMGN
2014-10-15,AMGN
2014-10-16,AMGN
2014-10-17,AMGN
2014-11-14,AMGN
2014-11-17,AMGN
2014-11-19,AMGN
2014-11-20,AMGN
2014-11-21,AMGN
2014-11-25,AMGN
2014-12-04,AMGN
2014-12-09,AMGN
2014-12-10,AMGN
2014-12-11,AMGN
2014-12-12,AMGN
2014-12-16,AMGN
2014-12-23,AMGN
2014-12-30,AMGN
2014-12-31,AMGN
2015-01-02,AMGN
2015-01-05,AMGN
2015-01-06,AMGN
2015-01-07,AMGN
2015-01-08,AMGN
2015-01-09,AMGN
2015-01-12,AMGN
2015-01-14,AMGN
2015-01-15,AMGN
2015-01-16,AMGN
2015-01-20,AMGN
2015-06-17,AMGN
2015-06-30,AMGN
2015-07-08,AMGN
2016-01-21,AMGN
2016-02-02,AMGN
2016-02-04,AMGN
2016-10-31,AMGN
2016-11-04,AMGN
2016-11-07,AMGN
2016-11-08,AMGN
2016-11-09,AMGN
2016-11-10,AMGN
2016-11-11,AMGN
2016-11-14,AMGN
2016-11-15,AMGN
2016-11-17,AMGN
2016-11-21,AMGN
2016-11-22,AMGN
2016-11-25,AMGN
2016-11-29,AMGN
2016-11-30,AMGN
2016-12-05,AMGN
2016-12-06,AMGN
2016-12-07,AMGN
2016-12-12,AMGN
2016-12-13,AMGN
2016-12-15,AMGN
2017-11-27,AMGN
2017-11-28,AMGN
2017-12-29,AMGN
2018-08-29,AMGN
2018-08-30,AMGN
2018-08-31,AMGN
2018-09-06,AMGN
2018-09-10,AMGN
2018-09-11,AMGN
2018-09-12,AMGN
2018-09-13,AMGN
2018-09-14,AMGN
2018-10-11,AMGN
2018-10-12,AMGN
2018-10-15,AMGN
2018-10-22,AMGN
2018-10-23,AMGN
2018-10-24,AMGN
2018-10-25,AMGN
2018-10-26,AMGN
2018-10-29,AMGN
2018-10-30,AMGN
2018-11-01,AMGN
2018-11-02,AMGN
2018-11-05,AMGN
2018-11-12,AMGN
2018-11-13,AMGN
2018-11-14,AMGN
2018-11-15,AMGN
2018-12-18,AMGN
2018-12-21,AMGN
2010-10-27,AES
2010-11-01,AES
2010-11-08,AES
2010-11-09,AES
2010-11-10,AES
2010-11-11,AES
2010-11-23,AES
2010-11-26,AES
2011-05-12,AES
2011-05-13,AES
2011-05-17,AES
2011-06-03,AES
2011-06-06,AES
2011-06-07,AES
2011-06-08,AES
2011-06-15,AES
2011-08-01,AES
2012-02-28,AES
2012-02-29,AES
2012-03-01,AES
2012-03-02,AES
2012-03-05,AES
2012-03-06,AES
2012-03-07,AES
2012-03-08,AES
2012-03-09,AES
2012-03-12,AES
2012-03-13,AES
2012-03-14,AES
2012-03-15,AES
2012-03-16,AES
2012-03-19,AES
2012-03-20,AES
2012-03-21,AES
2012-03-22,AES
2012-04-10,AES
2012-04-11,AES
2012-04-12,AES
2012-04-16,AES
2012-05-10,AES
2012-06-08,AES
2012-06-14,AES
2012-06-15,AES
2012-07-03,AES
2012-07-05,AES
2012-07-27,AES
2012-07-30,AES
2013-04-03,AES
2013-04-04,AES
2013-04-15,AES
2013-04-17,AES
2013-04-18,AES
2013-04-26,AES
2013-04-29,AES
2013-04-30,AES
2013-05-01,AES
2013-05-07,AES
2013-11-20,AES
2013-11-21,AES
2013-11-25,AES
2013-11-26,AES
2013-11-27,AES
2013-11-29,AES
2013-12-02,AES
2013-12-03,AES
2013-12-09,AES
2013-12-10,AES
2014-02-28,AES
2014-10-09,AES
2014-10-10,AES
2014-10-13,AES
2014-10-14,AES
2014-10-15,AES
2014-10-20,AES
2014-10-22,AES
2014-10-27,AES
2014-10-29,AES
2014-10-31,AES
2014-11-17,AES
2015-08-13,AES
2015-08-14,AES
2015-08-17,AES
2015-08-18,AES
2016-08-04,AES
2016-08-10,AES
2016-08-15,AES
2016-10-28,AES
2017-06-28,AES
2017-06-29,AES
2017-08-14,AES
2017-08-18,AES
2017-09-05,AES
2017-11-07,AES
2017-11-21,AES
2017-11-24,AES
2017-12-21,AES
2018-06-13,AES
2018-06-14,AES
2018-06-27,AES
2018-06-29,AES
2018-07-03,AES
2018-07-05,AES
2018-07-06,AES
2018-07-10,AES
2018-07-11,AES
2018-07-12,AES
2018-07-13,AES
2018-07-16,AES
2018-08-07,AES
2018-08-10,AES
2018-09-04,AES
2018-09-07,AES
2018-11-12,AES
2018-12-04,AES
2018-12-06,AES
2018-12-17,AES
2018-12-18,AES
2018-12-19,AES
2019-03-26,AES
2019-05-29,AES
2019-05-31,AES
2019-06-06,AES
2019-06-10,AES
2019-06-11,AES
2019-06-13,AES
2019-06-14,AES
2019-06-17,AES
2019-06-20,AES
2019-06-25,AES
2019-06-27,AES
2019-06-28,AES
2019-07-01,AES
2019-07-02,AES
2019-07-03,AES
2019-07-05,AES
2011-01-28,AMD
2011-03-07,AMD
2011-03-08,AMD
2011-03-09,AMD
2011-03-10,AMD
2011-03-11,AMD
2011-03-14,AMD
2011-03-15,AMD
2011-03-28,AMD
2011-03-29,AMD
2011-03-30,AMD
2011-03-31,AMD
2011-04-01,AMD
2011-04-07,AMD
2011-04-12,AMD
2011-04-13,AMD
2011-04-14,AMD
2011-04-18,AMD
2011-05-23,AMD
2011-06-01,AMD
2011-06-16,AMD
2011-06-21,AMD
2011-06-23,AMD
2011-06-24,AMD
2011-06-27,AMD
2011-06-28,AMD
2011-06-29,AMD
2011-07-08,AMD
2011-07-13,AMD
2011-07-14,AMD
2012-03-13,AMD
2012-03-16,AMD
2012-03-19,AMD
2012-03-20,AMD
2012-03-26,AMD
2012-03-27,AMD
2012-04-02,AMD
2012-04-10,AMD
2012-04-17,AMD
2012-04-20,AMD
2012-04-23,AMD
2012-04-24,AMD
2012-04-27,AMD
2012-05-09,AMD
2012-05-14,AMD
2012-05-15,AMD
2012-05-16,AMD
2012-05-17,AMD
2012-05-21,AMD
2012-05-22,AMD
2012-05-23,AMD
2012-05-24,AMD
2012-05-25,AMD
2012-05-29,AMD
2012-05-30,AMD
2012-05-31,AMD
2012-06-01,AMD
2012-06-04,AMD
2012-06-06,AMD
2014-01-23,AMD
2014-01-24,AMD
2014-01-27,AMD
2014-01-28,AMD
2014-01-29,AMD
2014-01-30,AMD
2014-01-31,AMD
2014-02-03,AMD
2014-02-04,AMD
2014-02-05,AMD
2014-02-06,AMD
2014-02-07,AMD
2014-04-17,AMD
2014-05-07,AMD
2014-05-08,AMD
2014-07-18,AMD
2014-07-21,AMD
2014-07-22,AMD
2014-07-23,AMD
2014-07-24,AMD
2014-07-25,AMD
2014-09-16,AMD
2014-09-17,AMD
2014-09-18,AMD
2014-09-19,AMD
2014-09-23,AMD
2014-09-24,AMD
2014-09-25,AMD
2014-09-26,AMD
2014-09-29,AMD
2014-09-30,AMD
2014-10-01,AMD
2014-10-02,AMD
2014-10-03,AMD
2014-10-06,AMD
2014-10-10,AMD
2014-10-13,AMD
2014-10-14,AMD
2014-10-15,AMD
2014-10-16,AMD
2014-10-22,AMD
2015-04-24,AMD
2015-04-28,AMD
2015-04-29,AMD
2015-05-05,AMD
2015-05-13,AMD
2015-05-29,AMD
2015-06-02,AMD
2015-12-23,AMD
2015-12-24,AMD
2015-12-28,AMD
2015-12-29,AMD
2015-12-30,AMD
2015-12-31,AMD
2016-02-10,AMD
2016-02-11,AMD
2016-02-12,AMD
2016-02-16,AMD
2016-02-17,AMD
2016-02-18,AMD
2016-02-19,AMD
2016-02-22,AMD
2016-02-24,AMD
2016-02-25,AMD
2016-02-26,AMD
2016-05-16,AMD
2016-05-17,AMD
2016-05-18,AMD
2016-05-19,AMD
2016-06-08,AMD
2016-06-22,AMD
2016-06-23,AMD
2016-06-24,AMD
2016-06-28,AMD
2016-06-29,AMD
2016-06-30,AMD
2016-07-01,AMD
2016-07-05,AMD
2016-07-06,AMD
2016-09-09,AMD
2016-09-12,AMD
2016-09-13,AMD
2017-01-24,AMD
2017-02-28,AMD
2017-03-01,AMD
2017-03-16,AMD
2017-03-17,AMD
2017-03-22,AMD
2017-03-23,AMD
2017-03-24,AMD
2017-03-27,AMD
2017-03-28,AMD
2017-03-29,AMD
2017-03-30,AMD
2017-03-31,AMD
2017-04-03,AMD
2017-04-04,AMD
2017-04-06,AMD
2017-04-07,AMD
2017-04-10,AMD
2017-04-11,AMD
2017-04-12,AMD
2017-04-13,AMD
2017-04-17,AMD
2017-10-25,AMD
2017-10-27,AMD
2017-11-01,AMD
2017-11-02,AMD
2017-11-03,AMD
2017-11-06,AMD
2017-11-09,AMD
2017-11-10,AMD
2017-11-13,AMD
2017-11-14,AMD
2017-11-16,AMD
2017-11-17,AMD
2017-11-20,AMD
2017-11-21,AMD
2017-11-29,AMD
2017-12-04,AMD
2017-12-06,AMD
2018-04-23,AMD
2018-04-24,AMD
2018-05-01,AMD
2018-05-02,AMD
2018-05-03,AMD
2018-08-09,AMD
2018-08-10,AMD
2018-08-13,AMD
2018-08-14,AMD
2018-08-16,AMD
2018-08-17,AMD
2018-08-20,AMD
2018-08-21,AMD
2018-08-22,AMD
2018-08-23,AMD
2018-08-24,AMD
2018-08-27,AMD
2018-08-28,AMD
2018-08-29,AMD
2018-08-31,AMD
2018-09-04,AMD
2018-09-06,AMD
2018-09-07,AMD
2018-09-10,AMD
2019-05-07,AMD
2019-05-08,AMD
2019-05-10,AMD
2019-05-13,AMD
2019-05-14,AMD
2019-05-15,AMD
2010-08-19,MMM
2010-08-24,MMM
2010-08-25,MMM
2010-08-27,MMM
2010-11-16,MMM
2010-11-17,MMM
2010-11-23,MMM
2010-12-07,MMM
2010-12-08,MMM
2011-07-28,MMM
2011-07-29,MMM
2011-08-01,MMM
2011-08-02,MMM
2011-08-03,MMM
2011-08-05,MMM
2011-08-18,MMM
2011-08-19,MMM
2011-08-22,MMM
2011-09-02,MMM
2012-02-28,MMM
2012-03-02,MMM
2012-03-29,MMM
2012-04-03,MMM
2012-04-04,MMM
2012-04-12,MMM
2012-05-10,MMM
2012-05-11,MMM
2012-05-16,MMM
2012-05-17,MMM
2012-11-02,MMM
2012-11-05,MMM
2012-11-09,MMM
2012-11-12,MMM
2012-11-27,MMM
2012-11-29,MMM
2013-04-16,MMM
2013-04-26,MMM
2013-04-29,MMM
2013-05-28,MMM
2013-05-29,MMM
2013-06-03,MMM
2013-06-05,MMM
2013-06-07,MMM
2013-06-10,MMM
2013-06-11,MMM
2013-06-12,MMM
2013-06-13,MMM
2013-06-14,MMM
2013-06-17,MMM
2013-06-20,MMM
2013-06-25,MMM
2013-07-02,MMM
2013-08-15,MMM
2013-09-30,MMM
2013-10-01,MMM
2013-10-02,MMM
2013-10-03,MMM
2013-10-04,MMM
2013-10-07,MMM
2013-10-09,MMM
2013-11-06,MMM
2013-11-11,MMM
2013-11-12,MMM
2013-11-13,MMM
2013-11-14,MMM
2013-11-15,MMM
2013-11-18,MMM
2013-11-19,MMM
2013-11-22,MMM
2013-11-25,MMM
2013-11-26,MMM
2013-11-27,MMM
2013-11-29,MMM
2013-12-06,MMM
2013-12-12,MMM
2014-01-07,MMM
2014-01-08,MMM
2014-01-15,MMM
2014-03-14,MMM
2014-07-09,MMM
2014-07-14,MMM
2014-07-15,MMM
2014-07-16,MMM
2014-07-17,MMM
2014-07-18,MMM
2014-07-30,MMM
2014-07-31,MMM
2014-08-01,MMM
2014-08-04,MMM
2014-08-05,MMM
2014-08-06,MMM
2014-08-07,MMM
2014-08-08,MMM
2014-08-11,MMM
2014-08-12,MMM
2014-09-26,MMM
2014-09-29,MMM
2014-09-30,MMM
2014-10-01,MMM
2014-10-02,MMM
2014-10-03,MMM
2014-10-06,MMM
2014-10-07,MMM
2014-10-08,MMM
2014-10-09,MMM
2014-10-10,MMM
2014-10-13,MMM
2014-10-14,MMM
2014-10-15,MMM
2014-10-16,MMM
2014-10-17,MMM
2014-10-20,MMM
2014-10-22,MMM
2014-12-19,MMM
2014-12-22,MMM
2014-12-23,MMM
2014-12-24,MMM
2014-12-26,MMM
2014-12-29,MMM
2015-03-11,MMM
2015-03-25,MMM
2016-01-11,MMM
2016-01-13,MMM
2016-01-14,MMM
2016-01-15,MMM
2016-01-20,MMM
2016-01-21,MMM
2016-01-22,MMM
2016-01-25,MMM
2016-01-26,MMM
2016-02-02,MMM
2016-09-26,MMM
2016-09-29,MMM
2016-10-03,MMM
2016-10-04,MMM
2016-10-05,MMM
2016-10-06,MMM
2016-10-07,MMM
2016-10-10,MMM
2016-10-12,MMM
2016-10-18,MMM
2016-10-24,MMM
2016-11-07,MMM
2016-11-08,MMM
2016-11-09,MMM
2016-11-10,MMM
2016-11-15,MMM
2016-11-22,MMM
2016-11-30,MMM
2017-04-07,MMM
2017-04-25,MMM
2017-04-28,MMM
2017-05-02,MMM
2017-05-04,MMM
2017-05-05,MMM
2017-05-10,MMM
2017-05-12,MMM
2017-05-16,MMM
2017-05-17,MMM
2017-05-18,MMM
2017-05-19,MMM
2017-05-24,MMM
2017-05-26,MMM
2017-05-30,MMM
2017-06-06,MMM
2017-06-07,MMM
2017-06-08,MMM
2017-06-12,MMM
2017-06-13,MMM
2017-06-22,MMM
2017-06-23,MMM
2017-06-26,MMM
2017-06-27,MMM
2017-06-28,MMM
2017-06-29,MMM
2017-06-30,MMM
2017-07-03,MMM
2017-07-05,MMM
2017-07-06,MMM
2017-07-07,MMM
2017-07-10,MMM
2017-07-11,MMM
2017-07-17,MMM
2017-07-18,MMM
2017-07-19,MMM
2017-07-20,MMM
2017-07-21,MMM
2017-07-24,MMM
2017-11-27,MMM
2017-11-29,MMM
2017-12-01,MMM
2017-12-04,MMM
2017-12-29,MMM
2018-01-05,MMM
2018-01-09,MMM
2018-01-10,MMM
2018-01-11,MMM
2018-11-12,MMM
2018-11-14,MMM
2018-11-20,MMM
2018-11-23,MMM
2018-11-26,MMM
2018-11-27,MMM
2018-11-29,MMM
2018-12-04,MMM
2018-12-06,MMM
2018-12-07,MMM
2018-12-10,MMM
2018-12-12,MMM
2018-12-13,MMM
2018-12-14,MMM
2018-12-17,MMM
2018-12-18,MMM
2018-12-19,MMM
2018-12-21,MMM
2018-12-24,MMM
2018-12-26,MMM
2019-06-06,MMM
2011-02-10,MSFT
2011-02-11,MSFT
2011-02-14,MSFT
2011-02-15,MSFT
2011-02-16,MSFT
2011-02-17,MSFT
2011-02-22,MSFT
2011-02-23,MSFT
2011-02-24,MSFT
2011-02-25,MSFT
2011-02-28,MSFT
2011-03-01,MSFT
2011-03-02,MSFT
2011-03-07,MSFT
2011-03-08,MSFT
2011-03-09,MSFT
2011-03-10,MSFT
2011-03-11,MSFT
2011-03-14,MSFT
2011-03-15,MSFT
2011-03-17,MSFT
2011-03-18,MSFT
2011-03-21,MSFT
2011-03-23,MSFT
2011-03-28,MSFT
2011-05-02,MSFT
2011-08-08,MSFT
2011-08-10,MSFT
2011-10-03,MSFT
2011-11-21,MSFT
2011-11-22,MSFT
2011-11-23,MSFT
2011-11-29,MSFT
2012-02-23,MSFT
2012-02-28,MSFT
2012-03-01,MSFT
2012-03-02,MSFT
2012-03-05,MSFT
2012-03-08,MSFT
2012-03-09,MSFT
2012-03-12,MSFT
2012-03-13,MSFT
2012-03-14,MSFT
2012-03-15,MSFT
2012-03-16,MSFT
2012-05-10,MSFT
2012-05-14,MSFT
2012-05-15,MSFT
2012-10-23,MSFT
2012-11-13,MSFT
2012-11-14,MSFT
2012-11-15,MSFT
2012-11-16,MSFT
2012-11-19,MSFT
2012-11-20,MSFT
2013-06-11,MSFT
2013-06-12,MSFT
2013-06-14,MSFT
2013-06-17,MSFT
2013-06-18,MSFT
2013-06-19,MSFT
2013-06-20,MSFT
2013-06-21,MSFT
2013-06-24,MSFT
2013-06-25,MSFT
2013-06-26,MSFT
2013-06-27,MSFT
2013-06-28,MSFT
2013-07-02,MSFT
2013-07-03,MSFT
2013-07-19,MSFT
2013-07-22,MSFT
2013-07-23,MSFT
2013-07-26,MSFT
2013-07-29,MSFT
2013-07-30,MSFT
2014-01-23,MSFT
2014-08-07,MSFT
2014-08-08,MSFT
2014-08-11,MSFT
2014-08-12,MSFT
2014-08-13,MSFT
2014-09-02,MSFT
2014-09-03,MSFT
2014-09-04,MSFT
2014-09-10,MSFT
2014-09-11,MSFT
2014-09-12,MSFT
